,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
214,214,4c828e5e6bd49521d3e3c5d2,Bakstugan,59.294523,17.966765,Vasaloppsvägen 64,6642,,SE,Stockholm,Storstockholm,Sverige,Bakery,3.0,12.0,8.3,1.0,No,No Delivery,Credit Cards: Yes,Yes,"Breakfast, Lunch, Dessert, "
215,215,4bb1c8f7f964a520e0a23ce3,Gärdets Grill,59.34082960880114,18.111059200388613,Sandhamnsgatan 80,5484,,SE,Stockholm,Storstockholm,Sverige,Fast Food Restaurant,4.0,13.0,7.9,1.0,,,Credit Cards: Yes,Yes,
216,216,5888a6524f106941b8793ec7,Paraden Kvarterskrog,59.34105267076135,18.090263624593863,Valhallavägen 147,5295,,SE,Stockholm,Storstockholm,Sverige,Modern European Restaurant,4.0,29.0,7.9,,Yes,,Credit Cards: Yes,,"Lunch, Dinner, Dessert, "
217,217,4bafa7c9f964a5205e143ce3,Kouzina,59.34189581799463,18.086443381425212,Valhallavägen 131,5378,,SE,Stockholm,Storstockholm,Sverige,Greek Restaurant,7.0,35.0,7.9,2.0,Yes,No Delivery,Credit Cards: Yes (incl. American Express & MasterCard),No,"Lunch, Dinner, "
218,218,57b7170ccd10b2ee4b96ae17,Minako Sushi,59.34109581596835,18.048385977745053,Västmannagatan 48,5652,,SE,Stockholm,Storstockholm,Sverige,Sushi Restaurant,11.0,21.0,7.9,2.0,,,,Yes,"Lunch, Dinner, "
219,219,4af0548bf964a5203bdb21e3,Döden i Grytan,59.348831200000006,18.044922800000002,Norrtullsgatan 61,6528,,SE,Stockholm,Storstockholm,Sverige,Italian Restaurant,7.0,15.0,8.1,2.0,Yes,Delivery,Credit Cards: Yes,Yes,
220,220,5327249b11d280d78e2fd193,Brioche,59.33271201816168,17.981747504413462,Gustavslundsvägen 34,7241,,SE,Stockholm,Storstockholm,Sverige,Café,10.0,36.0,8.4,1.0,No,Delivery,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Breakfast, Brunch, Lunch, Dessert, "
221,221,4c08c26b6071a59317bfdc32,Park konditori,59.329017599229594,17.97357577374585,Gustavslundsvägen 34,7390,,SE,Stockholm,Storstockholm,Sverige,Bakery,4.0,22.0,8.4,1.0,No,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, "
222,222,4bb7624cf562ef3bc8503197,Konditori Lyran,59.301266390387056,17.936166161159857,Ålgrytevägen 90,8423,,SE,Skärholmen,Storstockholm,Sverige,Café,25.0,65.0,9.1,1.0,No,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, "
223,223,58c187b39ab6636cfdde7a0d,Macelleria,59.346106999999996,18.032995,Solnavägen 1B,6513,,SE,Stockholm,Storstockholm,Sverige,Italian Restaurant,3.0,7.0,8.0,2.0,Yes,,Credit Cards: Yes,,"Lunch, Dinner, Dessert, "
224,224,4bcaf2aecc8cd13a077abecf,Gamla Orangeriet,59.369838123390856,18.04609879308665,Veit Wittrocks väg 7,8749,,SE,Stockholm,Storstockholm,Sverige,Café,18.0,106.0,9.3,2.0,No,No Delivery,Credit Cards: Yes (incl. Visa),Yes,"Brunch, Lunch, "
225,225,4b5896fdf964a520f35f28e3,Fondueboden,59.345250748037174,18.040770725717984,Vanadisvägen 42,6243,,SE,Stockholm,Storstockholm,Sverige,French Restaurant,5.0,20.0,8.0,3.0,Yes,,Credit Cards: Yes,Yes,Dinner
226,226,5456190d498e550f5b0ef742,Lö Bröd & Patisserie,59.36490275861082,18.12965257090697,Stockholmsvägen 40,8357,,SE,Lidingö,Storstockholm,Sverige,Bakery,8.0,28.0,8.7,1.0,No,No Delivery,,No,"Breakfast, Lunch, "
227,227,5523a6fe498eef39439db8ec,Austin Food Works,59.34792009425021,18.046229481697086,Norrtullsgatan 24,6408,,SE,Stockholm,Storstockholm,Sverige,Southern / Soul Food Restaurant,32.0,103.0,8.0,1.0,Yes,Delivery,Credit Cards: Yes,No,"Brunch, Lunch, Dinner, Dessert, "
228,228,58b55067d772f9552f66142e,Eatnam,59.341905000000004,18.047335999999998,Odengatan 85,5758,,SE,Stockholm,Storstockholm,Sverige,Vietnamese Restaurant,9.0,59.0,7.8,2.0,Yes,No Delivery,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Lunch, Dinner, Dessert, "
229,229,4b8ec920f964a520073733e3,Rosa Drömmar,59.325361092302984,18.008209241333173,Essinge Brogata 5,5554,,SE,Stockholm,Storstockholm,Sverige,Restaurant,6.0,8.0,7.7,2.0,,,Credit Cards: Yes,Yes,"Lunch, Dinner, "
230,230,54ffeb49498ea3fcf0e75688,Kafé Orion,59.34328926168826,18.05062119453516,Norrtullsgatan 10,5839,,SE,Stockholm,Storstockholm,Sverige,Café,15.0,38.0,7.8,1.0,,No Delivery,Credit Cards: Yes (incl. American Express & MasterCard),Yes,"Breakfast, Lunch, "
231,231,4b754b56f964a520e1042ee3,Fru Marias Bak,59.28115004940851,17.98579105663454,Svartlösavägen 77,5730,,SE,Stockholm,Storstockholm,Sverige,Bakery,14.0,26.0,7.8,1.0,No,Delivery,Credit Cards: Yes,Yes,
232,232,5293b01111d267e39c4227ed,Selma Deli,59.35586407410449,18.087365664318266,Jaktgatan 4,6934,,SE,Stockholm,Storstockholm,Sverige,Deli / Bodega,4.0,27.0,8.1,1.0,,No Delivery,Credit Cards: Yes,Yes,
233,233,4be2a02dd27a20a1d4eb8f5b,Stora Skuggans Wärdshus,59.36376007801378,18.074452684921386,Stora Skuggans Väg 12,7827,,SE,Stockholm,Storstockholm,Sverige,Diner,3.0,19.0,8.3,1.0,,No Delivery,,Yes,Brunch
234,234,4b8a6c50f964a520396c32e3,Djurgårdsbrunns värdshus,59.33039183493253,18.131611821692573,Djurgårdsbrunnsvägen 68,4920,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,9.0,51.0,7.6,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
235,235,57c309a9498e1792aabe109c,Esuki Sushi,59.365184193322314,17.993849878480226,Råsundavägen 117A,9458,,SE,Solna,Storstockholm,Sverige,Sushi Restaurant,11.0,37.0,9.3,2.0,,,Credit Cards: Yes,No,"Lunch, Dinner, "
236,236,51796e60e4b0305694ff167f,Prime Burger,59.34766268358716,18.060653829039012,Birger Jarlsgatan 101,6157,,SE,Stockholm,Storstockholm,Sverige,Burger Joint,36.0,122.0,7.8,1.0,No,Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, Dessert, "
237,237,59f735f08c812a57e5c05481,Poké Burger,59.331646,17.984362,Gustavslundsvägen 149E,7051,,SE,Stockholm,Storstockholm,Sverige,Hawaiian Restaurant,0.0,8.0,8.0,,Yes,No Delivery,Credit Cards: Yes,,
238,238,4b59efc6f964a52037a228e3,Thai House Wok,59.34015777368432,18.03485793626287,Birkagatan 14,5875,,SE,Stockholm,Storstockholm,Sverige,Thai Restaurant,9.0,22.0,7.7,2.0,Yes,Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, "
239,239,4bd6b550cfa7b7134bed27da,Restaurang S,59.35651487876122,17.97682027474168,Röntgenvägen 2,9264,,SE,Solna,Storstockholm,Sverige,Scandinavian Restaurant,13.0,40.0,8.7,2.0,No,No Delivery,,Yes,Lunch
240,240,4bca0d7d3740b71325ea5f65,Herrängens Gård,59.27318879999999,17.960504699999998,Segeltorpsvägen 49,7358,,SE,Stockholm,Storstockholm,Sverige,Café,6.0,17.0,7.9,1.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, "
241,241,4ba8a773f964a520dce439e3,Pizzeria Lugano,59.28355867858058,17.9706899369543,Fredrika Bremers gata 63,6515,,SE,Stockholm,Storstockholm,Sverige,Pizza Place,5.0,11.0,7.7,1.0,No,No Delivery,Credit Cards: Yes,Yes,
242,242,4be5bd6fcf200f474ca6133c,Bockholmen Hav & Restaurang,59.37749178986118,18.05437803268433,Bockholmenvägen 1,9484,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,14.0,76.0,8.5,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
243,243,4c0a3ceb009a0f478904e9bf,Långängens Gård,59.357148973717315,18.19364956236989,LÅNGÄNGENS GÅRD 181 41,9439,,SE,Lidingö,Storstockholm,Sverige,Café,6.0,29.0,8.5,1.0,No,No Delivery,Credit Cards: Yes,Yes,
244,244,59d254536adbf568b63c9f32,Nockeby Bageri,59.32891,17.927926,LÅNGÄNGENS GÅRD 181 41,9678,,SE,Stockholm,Storstockholm,Sverige,Bakery,1.0,7.0,8.3,1.0,,,,,
245,245,4be69a77910020a1d075d414,Daisy's,59.340587099504525,17.96113959880651,Ulvsundavägen 71,8703,,SE,Stockholm,Storstockholm,Sverige,Fast Food Restaurant,3.0,15.0,7.9,1.0,,,Credit Cards: Yes,,"Brunch, Lunch, Dinner, "
