,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
56,56,4b63079df964a520945e2ae3,Ardbeg Embassy,59.32317024450011,18.07190377165705,Västerlånggatan 68,3358,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,80.0,149.0,8.5,2.0,Yes,No Delivery,Credit Cards: Yes (incl. American Express),No,"Lunch, Dinner, Dessert, "
57,57,4adcdaecf964a520f75921e3,Pelikan,59.31066171027103,18.07588407794953,Blekingegatan 40,1949,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,167.0,400.0,8.0,3.0,Yes,"Table Service, Bar Service, No Delivery, ",Credit Cards: Yes (incl. American Express & MasterCard),No,"Brunch, Lunch, Dinner, Dessert, Bar Snacks, "
58,58,55b7ff6f498eefcfa90bfa67,BrewDog Södermalm,59.30906518438343,18.083137139375275,Ringvägen 149,1721,,SE,Stockholm,Storstockholm,Sverige,Beer Bar,41.0,204.0,8.9,2.0,Yes,,Credit Cards: Yes,Yes,
59,59,4adcdaebf964a520c05921e3,Mäster Anders,59.32887635449504,18.044710323952962,Pipersgatan 1,4505,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,40.0,139.0,8.5,3.0,Yes,No Delivery,Credit Cards: Yes,No,"Breakfast, Lunch, Dinner, Happy Hour, "
60,60,590b8aa482a750569d987ec1,Dryck,59.31715,18.063477,Swedenborgsgatan 1,2860,,SE,Stockholm,Storstockholm,Sverige,Wine Bar,1.0,10.0,7.4,2.0,Yes,"Table Service, Bar Service, ",Credit Cards: Yes,,"Dinner, Dessert, Bar Snacks, "
61,61,4bcd77360687ef3b54e8e0cc,Debaser Humlegården,59.33963817550313,18.074850993680503,Humlegården,5148,,SE,Stockholm,Storstockholm,Sverige,Pub,4.0,8.0,6.3,2.0,Yes,,Credit Cards: Yes,Yes,
62,62,50c0cc79e4b0a80fdc3460df,Gaston - Wine Exploring,59.323206000000006,18.06864,Mälartorget 15,3403,,SE,Stockholm,Storstockholm,Sverige,Wine Bar,16.0,71.0,9.0,2.0,Yes,,Credit Cards: Yes (incl. American Express),No,
63,63,4bb60d1346d4a593649bc5c0,St Andrew's Inn,59.3388391521505,18.08057531627087,Nybrogatan 46,5038,,SE,Stockholm,Storstockholm,Sverige,Pub,9.0,17.0,5.9,1.0,,,Credit Cards: Yes,Yes,"Dinner, Dessert, "
64,64,4bf42282354e9c7425b42602,Dick Turpin,59.36445222572678,17.994852073407547,SolnaVägen 55 A,9359,,SE,Solna,Storstockholm,Sverige,Pub,5.0,19.0,6.5,1.0,,,Credit Cards: Yes,Yes,
65,65,51ccb742498e64f625f8ce57,Pharmarium,59.324851,18.070891,Stortorget 7,3552,,SE,Stockholm,Storstockholm,Sverige,Cocktail Bar,50.0,180.0,8.3,3.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Dinner, Dessert, "
66,66,4b7038f5f964a520630c2de3,Belgobaren,59.332770999999994,18.058334,Bryggargatan 12,4590,,SE,Stockholm,Storstockholm,Sverige,Gastropub,47.0,150.0,7.6,3.0,Yes,No Delivery,Credit Cards: Yes,No,"Brunch, Lunch, Dinner, "
67,67,4adcdaedf964a520555a21e3,Kaffekoppen,59.325016053789845,18.070692897187275,Stortorget 20,3573,,SE,Stockholm,Storstockholm,Sverige,Café,51.0,104.0,7.7,1.0,No,Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, "
68,68,557561e6498e2a6bb7550f1a,Krubb,59.333144457396486,18.043616101702682,Carl-Gustaf Lindstedts gata 2,4953,,SE,Stockholm,Storstockholm,Sverige,Burger Joint,19.0,49.0,8.7,1.0,No,,Credit Cards: Yes (incl. NFC Payments & MasterCard),Yes,"Lunch, Dinner, Happy Hour, "
69,69,4c092b37340720a134478493,Åsens Krog,59.29615150424962,17.98375424813327,Sedelvägen 11,5682,,SE,Stockholm,Storstockholm,Sverige,Pub,4.0,6.0,6.1,1.0,Yes,No Delivery,Credit Cards: Yes,Yes,
70,70,4adcdaebf964a520cb5921e3,Man in the Moon,59.340652,18.063904,Tegnérgatan 2 C,5355,,SE,Stockholm,Storstockholm,Sverige,Gastropub,42.0,166.0,7.5,2.0,Yes,Table Service,Credit Cards: Yes,Yes,"Lunch, Dinner, Dessert, Happy Hour, Bar Snacks, "
71,71,4e60f43d7d8b854088fcc302,Pubben,59.29820949719142,18.0794836591007,Gullmarsplan 8,563,,SE,Johanneshov,Storstockholm,Sverige,Pub,0.0,0.0,,1.0,,,Credit Cards: Yes,,
72,72,55fb08c0498ef39c9781bf05,John Scott's Pub,59.335735522713136,18.064539305215412,Kungsgatan 37,4813,,SE,Stockholm,Storstockholm,Sverige,Pub,11.0,31.0,5.8,1.0,,,,,"Lunch, Dinner, "
73,73,582b90407a83427a3412632a,Kloster,59.31795921770379,18.054509002078344,Hornsgatan 84,3175,,SE,Stockholm,Storstockholm,Sverige,Pub,4.0,17.0,5.8,1.0,,,Credit Cards: Yes,Yes,"Dessert, Happy Hour, "
74,74,4b7ed996f964a520260430e3,Gullmarsson's Krog,59.29833917809486,18.07963568614712,Gullmarsplan 6,573,,SE,Johanneshov,Storstockholm,Sverige,Pub,1.0,3.0,5.4,1.0,,,,,
75,75,4d8b943ed85f3704f43e18dc,Backstreetpub,59.294728989713825,18.07430378938047,konstgjutarvägen 42,543,,SE,Johanneshov,Storstockholm,Sverige,Pub,0.0,2.0,,1.0,,,,,
76,76,527e8ce7498eaf4169897a8f,Pitcher's Pub,59.318744068779814,18.063374327500593,Hornsgatan 31,3025,,SE,Stockholm,Storstockholm,Sverige,Pub,14.0,33.0,5.6,1.0,Yes,,Credit Cards: Yes,No,Happy Hour
77,77,4bae5c27f964a520aba73be3,Restaurang Wollmar,59.316788723535325,18.062565804173538,Wollmar Yxkullsgatan 12,2844,,SE,Stockholm,Storstockholm,Sverige,Pub,5.0,6.0,5.6,1.0,,No Delivery,,Yes,Happy Hour
78,78,55b40d93498e0d645ddb0524,Crazy Horse,59.33860007302732,18.060636179358326,Sveavägen 60,5176,,SE,Stockholm,Storstockholm,Sverige,Pub,4.0,20.0,5.8,1.0,,,Credit Cards: Yes,Yes,"Lunch, Dinner, "
79,79,4fb10feee4b0dfd9ca7bba4c,Espresso House,59.33527751893716,18.07343052198025,Birger Jarlsgatan 18,4675,,SE,Stockholm,Storstockholm,Sverige,Café,60.0,285.0,7.5,1.0,No,No Delivery,Credit Cards: Yes (incl. American Express),Yes,"Breakfast, Lunch, Dinner, "
80,80,4baf3310f964a5209af03be3,The Bishops Arms,59.346635295735645,18.040020738956088,Sankt Eriksgatan 115,6401,,SE,Stockholm,Storstockholm,Sverige,Pub,16.0,37.0,5.8,1.0,,Delivery,Credit Cards: Yes,Yes,"Dinner, Happy Hour, "
81,81,4b6fbe34f964a52060fb2ce3,Lilla Wien,59.31409355858432,18.064317099954017,Swedenborgsgatan 20,2530,,SE,Stockholm,Storstockholm,Sverige,Pub,2.0,0.0,,1.0,,,Credit Cards: Yes,No,
82,82,5acbbc10acb00b4cc9ab2491,Beerpot,59.315585,18.071604,6 Noe Arksgränden,2540,,SE,Stockholm,Storstockholm,Sverige,Pub,0.0,1.0,,1.0,,,,,
83,83,4b7af92df964a5206c492fe3,Balthazar,59.31661902376346,18.07258308031672,Högbergsgatan 33,2637,,SE,Stockholm,Storstockholm,Sverige,Pub,6.0,12.0,5.6,2.0,,,,,Happy Hour
84,84,4bc74eae8b7c9c74f72f36cf,Brother Tuck,59.30979465976625,18.07566125977618,Götgatan 85,1858,,SE,Stockholm,Storstockholm,Sverige,Pub,10.0,21.0,5.3,1.0,Yes,Delivery,Credit Cards: No,Yes,"Dinner, Happy Hour, "
85,85,510170afe4b00d6c3ffa08a9,Sjöpiren,59.30902805990876,18.103129356492047,Jan Inghes Torg 22,2044,,SE,Stockholm,Storstockholm,Sverige,Pub,2.0,1.0,,2.0,,,Credit Cards: Yes,Yes,
86,86,4cc069ccb6c4224bdbeef894,Sherlock Holmes Inn Pub,59.2769065833529,18.131285861454014,Rusthållarvägen 61,3287,,SE,Bagarmossen,Storstockholm,Sverige,Pub,1.0,4.0,,1.0,,,,,
87,87,4b196a58f964a520efdc23e3,The Shakespeare Inn,59.342597640045064,18.058578424111182,Rehnsgatan 22,5636,,SE,Stockholm,Storstockholm,Sverige,Pub,3.0,5.0,5.7,1.0,,,Credit Cards: Yes,No,Happy Hour
88,88,538a2027498eff328345cdfd,The Kingstone Arms,59.33995126853175,18.051736623778208,Kungstensgatan 55,5468,,SE,Stockholm,Storstockholm,Sverige,Pub,4.0,8.0,5.7,1.0,Yes,,Credit Cards: Yes (incl. MasterCard & American Express),Yes,Dessert
