,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
54,54,4adcdae8f964a5203f5921e3,Freys Hotel,59.33286848928052,18.05829287207973,Bryggargatan 12,4601,,SE,Stockholm,Storstockholm,Sverige,Hotel,20.0,30.0,6.9,,,,Credit Cards: Yes (incl. American Express),,
55,55,4e5aaa7f18a8c204751c6503,Hotel Hornsgatan,59.318571999999996,18.0591215,Hornsgatan 66B,3108,,SE,Stockholm,Storstockholm,Sverige,Hotel,5.0,9.0,7.1,,,,Credit Cards: Yes (incl. MasterCard),,
56,56,4bc8d19a762beee1758e3d38,LogInn Hotel Stockholm,59.321341144225975,18.056584266792218,"Södermälarstrand, Kajplats, 16",3448,,SE,Stockholm,Storstockholm,Sverige,Hotel,13.0,32.0,7.1,,,,Credit Cards: Yes,,
57,57,5a0f6e03febf312ba801e250,Elite Hotel Carolina Tower,59.34822983085946,18.031846486798266,Eugeniavägen 6,6754,,SE,Solna,Storstockholm,Sverige,Hotel,1.0,10.0,7.5,,,,Credit Cards: Yes (incl. Visa & MasterCard),,
58,58,4adcdae9f964a5207c5921e3,Mornington Hotel Stockholm City,59.33783769999999,18.079393900000014,Nybrogatan 53,4930,,SE,Stockholm,Storstockholm,Sverige,Hotel,36.0,63.0,7.1,,,,Credit Cards: Yes (incl. American Express),,
59,59,4b83d7faf964a5202c1331e3,Elite Palace Hotel,59.34674203565803,18.03936001792054,S:t Eriksgatan 115,6427,,SE,Stockholm,Storstockholm,Sverige,Hotel,17.0,69.0,7.0,,Yes,,Credit Cards: Yes,,
60,60,4bb1b2bbf964a520619f3ce3,Hellsten Hotel,59.341473244410494,18.0597549305997,Luntmakargatan 68,5498,,SE,Stockholm,Storstockholm,Sverige,Hotel,26.0,58.0,6.8,,,,Credit Cards: Yes,,
61,61,4bd8642a2ecdce72c1c7d0f2,Scandic Alvik,59.331658940044,17.982437419758,Gustavslundsvägen 153,7140,,SE,Stockholm,Storstockholm,Sverige,Hotel,19.0,48.0,7.4,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
62,62,57743a9f498e8fee01a58ec7,Generator Stockholm,59.33587315606469,18.050674008834946,Torsgatan 10,5063,,SE,Stockholm,Storstockholm,Sverige,Hostel,25.0,149.0,8.0,,Yes,,Credit Cards: Yes (incl. Visa & MasterCard),,
63,63,4adcdae9f964a5205a5921e3,Comfort Hotel,59.33307498074882,18.05450152955018,Kungsbron 1,4694,,SE,Stockholm,Storstockholm,Sverige,Hotel,29.0,57.0,6.7,,,,Credit Cards: Yes (incl. American Express & MasterCard),,
